accounting_stratum_id,district,control_name,control_type,official_control_employment,employment_rounding_lower,employment_rounding_upper_exclusive,rounding_increment_people,employment_universe,geometry_is_approximate,area_fraction_inside,uniform_jobs_inside,building_jobs_inside,ppml_jobs_inside,boundary_source,source_vintage,source_crs,analysis_crs,license_or_terms,redistribution_status,support_classification,model_min_jobs_inside,model_max_jobs_inside,model_max_minus_min_jobs,model_difference_shanghai_percentage_points,official_control_share_of_shanghai_percentage,ppml_share_of_current_50min_numerator_percentage,partial_uncertainty_rank,cumulative_partial_model_spread_share,in_smallest_set_covering_80pct_model_spread
310115004000,浦东新区,潍坊新村街道,street,153750,153500,154500,1000,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.9999999999999999,153750.0,153750.0,153750.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,153750.0,153750.0,0.0,0.0,1.173682488924445,4.165246727447785,,,False
310109014000,虹口区,嘉兴路街道,street,40429,40429,40429,1,2023 secondary- and tertiary-sector legal-entity workplace employment,True,1.0,40429.00000000001,40429.0,40429.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,40429.0,40429.00000000001,7.275957614183426e-12,5.554253035397444e-17,0.3086231502096025,1.0952634793104814,,,False
310105002000,长宁区,江苏路街道,street,37808,37808,37808,1,2023 secondary- and tertiary-sector legal-entity workplace employment,True,1.0,37807.99999999999,37807.99999999999,37807.99999999999,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,37807.99999999999,37807.99999999999,0.0,0.0,0.2886152035203604,1.0242578749355828,,,False
310106011000,静安区,石门二路街道,street,47000,46500,47500,1000,2023 secondary- and tertiary-sector legal-entity workplace employment,True,1.0,47000.0,47000.0,46999.99999999999,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,46999.99999999999,47000.0,7.275957614183426e-12,5.554253035397444e-17,0.3587842405167409,1.2732786744068025,,,False
310106012000,静安区,南京西路街道,street,152000,151500,152500,1000,2023 secondary- and tertiary-sector legal-entity workplace employment,True,1.0,152000.0,152000.0,152000.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,152000.0,152000.0,0.0,0.0,1.16032350124563,4.117837415102851,,,False
310106013000,静安区,静安寺街道,street,80000,79500,80500,1000,2023 secondary- and tertiary-sector legal-entity workplace employment,True,1.0,80000.0,80000.00000000001,80000.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,80000.0,80000.00000000001,1.4551915228366852e-11,1.1108506070794887e-16,0.6106965796029633,2.167282850054132,,,False
310101002000,黄浦区,南京东路街道,street,101851,101851,101851,1,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.9999999999999998,101851.0,101851.0,101851.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,101851.0,101851.0,0.0,0.0,0.7775007166142677,2.759249069510793,,,False
310101017000,黄浦区,小东门街道,street,126442,126442,126442,1,2023 secondary- and tertiary-sector legal-entity workplace employment,True,1.0,126442.00000000001,126442.00000000001,126442.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,126442.0,126442.00000000001,1.4551915228366852e-11,1.1108506070794887e-16,0.9652212114769736,3.4254447265818078,,,False
310101018000,黄浦区,豫园街道,street,19681,19681,19681,1,2023 secondary- and tertiary-sector legal-entity workplace employment,True,1.0,19681.0,19681.0,19681.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,19681.0,19681.0,0.0,0.0,0.150238992289574,0.5331786721489423,,,False
310101019000,黄浦区,老西门街道,street,16323,16323,16323,1,2023 secondary- and tertiary-sector legal-entity workplace employment,True,1.0,16322.999999999998,16322.999999999998,16323.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,16322.999999999998,16323.0,1.8189894035458565e-12,1.388563258849361e-17,0.12460500336073962,0.44220697451792,,,False
310101021000,黄浦区,打浦桥街道,street,49936,49936,49936,1,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.9999999999999999,49936.00000000001,49936.0,49936.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,49936.0,49936.00000000001,7.275957614183426e-12,5.554253035397444e-17,0.38119680498816966,1.3528179550037893,,,False
310101022000,黄浦区,淮海中路街道,street,81561,81561,81561,1,2023 secondary- and tertiary-sector legal-entity workplace employment,True,1.0,81561.0,81561.00000000001,81561.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,81561.0,81561.00000000001,1.4551915228366852e-11,1.1108506070794887e-16,0.622612796612466,2.2095719566658136,,,False
310101023000,黄浦区,瑞金二路街道,street,52840,52840,52840,1,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.9999999999999998,52839.999999999985,52840.0,52840.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_inside,52839.999999999985,52840.0,1.4551915228366852e-11,1.1108506070794887e-16,0.4033650908277573,1.4314903224607545,,,False
310104010000,徐汇区,长桥街道,street,20700,20650,20750,100,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.0,0.0,0.0,0.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_outside,0.0,0.0,0.0,0.0,0.15801773997226673,0.0,,,False
310104011000,徐汇区,田林街道,street,75600,75550,75650,100,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.0,0.0,0.0,0.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_outside,0.0,0.0,0.0,0.0,0.5771082677248003,0.0,,,False
310104012000,徐汇区,虹梅路街道,street,262100,262050,262150,100,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.0,0.0,0.0,0.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_outside,0.0,0.0,0.0,0.0,2.0007946689242084,0.0,,,False
310104013000,徐汇区,康健新村街道,street,15900,15850,15950,100,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.0,0.0,0.0,0.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_outside,0.0,0.0,0.0,0.0,0.12137594519608895,0.0,,,False
310104015000,徐汇区,凌云路街道,street,12200,12150,12250,100,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.0,0.0,0.0,0.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_outside,0.0,0.0,0.0,0.0,0.0931312283894519,0.0,,,False
310104017000,徐汇区,漕河泾街道,street,88600,88550,88650,100,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.0,0.0,0.0,0.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_outside,0.0,0.0,0.0,0.0,0.6763464619102818,0.0,,,False
310104103000,徐汇区,华泾镇,town,10300,10250,10350,100,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.0,0.0,0.0,0.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_outside,0.0,0.0,0.0,0.0,0.07862718462388152,0.0,,,False
310107016000,普陀区,甘泉路街道,street,21000,20500,21500,1000,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.0,0.0,0.0,0.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_outside,0.0,0.0,0.0,0.0,0.16030785214577786,0.0,,,False
310107017000,普陀区,石泉路街道,street,20000,19500,20500,1000,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.0,0.0,0.0,0.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_outside,0.0,0.0,0.0,0.0,0.15267414490074083,0.0,,,False
310107021000,普陀区,真如镇街道,street,26000,25500,26500,1000,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.0,0.0,0.0,0.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_outside,0.0,0.0,0.0,0.0,0.19847638837096307,0.0,,,False
310107022000,普陀区,万里街道,street,43000,42500,43500,1000,2023 secondary- and tertiary-sector legal-entity workplace employment,True,0.0,0.0,0.0,0.0,OpenStreetMap admin_level=8 relation,2026-08-19,EPSG:4326,EPSG:32651,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,effectively_fully_outside,0.0,0.0,0.0,0.0,0.32824941153659276,0.0,,,False
