district,accounting_stratum_id,control_name,control_type,boundary_source,source_feature_id,source_url,source_vintage,source_crs,analysis_crs,geometry_is_approximate,license_or_terms,redistribution_status,repository_geometry_file,repository_geometry_sha256,official_map_validation_required,official_map_validation_status,could_materially_change_reach_employment,official_map_review_date
黄浦区,310101002000,南京东路街道,street,OpenStreetMap admin_level=8 relation,12236005,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,2026-08-19,EPSG:4326,EPSG:32651,True,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,data/employment/raw/boundaries/osm-priority-controls-2026-08-19.geojson,d94b7fc3800e8c6bbe3c8b2f376f541b7887f6690a71cee103d53840bdf1a9a9,True,not_required,no,
黄浦区,310101013000,外滩街道,street,OpenStreetMap admin_level=8 relation,12235857,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,2026-08-19,EPSG:4326,EPSG:32651,True,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,data/employment/raw/boundaries/osm-priority-controls-2026-08-19.geojson,d94b7fc3800e8c6bbe3c8b2f376f541b7887f6690a71cee103d53840bdf1a9a9,True,pass,no,2026-08-19
黄浦区,310101015000,半淞园路街道,street,OpenStreetMap admin_level=8 relation,12235902,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,2026-08-19,EPSG:4326,EPSG:32651,True,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,data/employment/raw/boundaries/osm-priority-controls-2026-08-19.geojson,d94b7fc3800e8c6bbe3c8b2f376f541b7887f6690a71cee103d53840bdf1a9a9,True,pass,no,2026-08-19
黄浦区,310101017000,小东门街道,street,OpenStreetMap admin_level=8 relation,12235905,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,2026-08-19,EPSG:4326,EPSG:32651,True,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,data/employment/raw/boundaries/osm-priority-controls-2026-08-19.geojson,d94b7fc3800e8c6bbe3c8b2f376f541b7887f6690a71cee103d53840bdf1a9a9,True,pass,no,2026-08-19
黄浦区,310101018000,豫园街道,street,OpenStreetMap admin_level=8 relation,12235904,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,2026-08-19,EPSG:4326,EPSG:32651,True,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,data/employment/raw/boundaries/osm-priority-controls-2026-08-19.geojson,d94b7fc3800e8c6bbe3c8b2f376f541b7887f6690a71cee103d53840bdf1a9a9,True,not_required,no,
黄浦区,310101019000,老西门街道,street,OpenStreetMap admin_level=8 relation,12235903,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,2026-08-19,EPSG:4326,EPSG:32651,True,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,data/employment/raw/boundaries/osm-priority-controls-2026-08-19.geojson,d94b7fc3800e8c6bbe3c8b2f376f541b7887f6690a71cee103d53840bdf1a9a9,True,not_required,no,
黄浦区,310101020000,五里桥街道,street,OpenStreetMap admin_level=8 relation,12235959,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,2026-08-19,EPSG:4326,EPSG:32651,True,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,data/employment/raw/boundaries/osm-priority-controls-2026-08-19.geojson,d94b7fc3800e8c6bbe3c8b2f376f541b7887f6690a71cee103d53840bdf1a9a9,True,pass,no,2026-08-19
黄浦区,310101021000,打浦桥街道,street,OpenStreetMap admin_level=8 relation,12235958,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,2026-08-19,EPSG:4326,EPSG:32651,True,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,data/employment/raw/boundaries/osm-priority-controls-2026-08-19.geojson,d94b7fc3800e8c6bbe3c8b2f376f541b7887f6690a71cee103d53840bdf1a9a9,True,not_required,no,
黄浦区,310101022000,淮海中路街道,street,OpenStreetMap admin_level=8 relation,12236003,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,2026-08-19,EPSG:4326,EPSG:32651,True,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,data/employment/raw/boundaries/osm-priority-controls-2026-08-19.geojson,d94b7fc3800e8c6bbe3c8b2f376f541b7887f6690a71cee103d53840bdf1a9a9,True,not_required,no,
黄浦区,310101023000,瑞金二路街道,street,OpenStreetMap admin_level=8 relation,12236004,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,2026-08-19,EPSG:4326,EPSG:32651,True,"OpenStreetMap contributors, Open Database License 1.0",redistributable under ODbL with attribution/share-alike,data/employment/raw/boundaries/osm-priority-controls-2026-08-19.geojson,d94b7fc3800e8c6bbe3c8b2f376f541b7887f6690a71cee103d53840bdf1a9a9,True,not_required,no,
